t,actual,rw_pred,ar1_pred,rw_error,ar1_error,rw_abs_error,ar1_abs_error,rw_sq_error,ar1_sq_error,ar1_phi
68,0.9555114450274363,0.9895411936137477,0.9882149059282226,0.03402974858631136,0.03270346090078624,0.03402974858631136,0.03270346090078624,0.00115802378884756,0.0010695163548892544,0.927237346968096
69,0.9707789171582248,0.9555114450274363,0.9562027509818367,-0.015267472130788495,-0.014576166176388128,0.015267472130788495,0.014576166176388128,0.00023309570526440339,0.0002124646204016813,0.9252886279504575
70,0.9858167945227654,0.9707789171582248,0.9705391021036728,-0.015037877364540542,-0.015277692419092603,0.015037877364540542,0.015277692419092603,0.00022613775563096078,0.0002334078856523996,0.9248512177117658
71,0.9932517730102834,0.9858167945227654,0.9846681083873849,-0.0074349784875180625,-0.008583664622898501,0.0074349784875180625,0.008583664622898501,5.5278905109856376e-05,7.367929835839928e-05,0.9250074913507282
72,1.000631880307906,0.9932517730102834,0.9916774396975289,-0.007380107297622507,-0.00895444061037709,0.007380107297622507,0.00895444061037709,5.446598372442098e-05,8.018200664477044e-05,0.9254302871256375
73,0.9858167945227654,1.000631880307906,0.9986516800004962,0.01481508578514057,0.012834885477730817,0.01481508578514057,0.012834885477730817,0.00021948676682107416,0.00016473428522646542,0.9260376390379608
74,0.9783261227936078,0.9858167945227654,0.9847368924495421,0.0074906717291576275,0.006410769655934345,0.0074906717291576275,0.006410769655934345,5.611016295400132e-05,4.109796758144856e-05,0.9249356979805722
75,0.9282193027394288,0.9783261227936078,0.9777188810091787,0.05010682005417899,0.04949957826974993,0.05010682005417899,0.04949957826974993,0.002510693415941874,0.0024502082488830996,0.9246394411313448
76,0.9400072584914712,0.9282193027394288,0.9307801422699465,-0.01178795575204239,-0.009227116221524612,0.01178795575204239,0.009227116221524612,0.00013895590081210925,8.513967376552262e-05,0.9233443441721909
77,0.9820784724121582,0.9400072584914712,0.9418125206621037,-0.04207121392068702,-0.04026595175005443,0.04207121392068702,0.04026595175005443,0.0017699870407602094,0.0016213468703377115,0.9223877000978842
78,1.000631880307906,0.9820784724121582,0.9810992513552403,-0.018553407895747775,-0.01953262895266561,0.018553407895747775,0.01953262895266561,0.0003442289445459959,0.00038152359380251084,0.9194989214806724
79,1.0043016091968684,1.000631880307906,0.9984337293743212,-0.0036697288889624424,-0.005867879822547217,0.0036697288889624424,0.005867879822547217,1.3466910118485522e-05,3.4432013611856764e-05,0.9202336641633686
80,1.0260415958332743,1.0043016091968684,1.001903018240829,-0.02173998663640586,-0.0241385775924452,0.02173998663640586,0.0241385775924452,0.00047262701895110543,0.0005826709281864975,0.9207307617301252
81,0.9783261227936078,1.0260415958332743,1.0223502057279346,0.0477154730396665,0.0440240829343268,0.0477154730396665,0.0440240829343268,0.0022767663673991406,0.0019381198782084843,0.9229702257922408
82,0.9707789171582248,0.9783261227936078,0.9777083412947548,0.007547205635382914,0.006929424136529971,0.007547205635382914,0.006929424136529971,5.6960312902755616e-05,4.801691886392414e-05,0.9165387571452042
83,1.007957920399979,0.9707789171582248,0.970706302394962,-0.03717900324175405,-0.03725161800501686,0.03717900324175405,0.03725161800501686,0.0013822782820503581,0.0013876830439916964,0.9163789263662491
84,1.1118575154181303,1.007957920399979,1.0052303643448797,-0.10389959501815138,-0.1066271510732506,0.10389959501815138,0.1066271510732506,0.010795125844935867,0.011369349345997808,0.9165134961169155
85,1.075002423028976,1.1118575154181303,1.1032042491420053,0.03685509238915419,0.028201826113029238,0.03685509238915419,0.028201826113029238,0.0013582978350130909,0.0007953429961095378,0.9269281659442025
86,1.0647107369924282,1.075002423028976,1.0677118781584,0.010291686036547842,0.0030011411659718323,0.010291686036547842,0.0030011411659718323,0.00010591880147487384,9.006848298090768e-06,0.9172800430973017
87,1.0577902941478545,1.0647107369924282,1.058169508137375,0.006920442844573715,0.00037921398952045493,0.006920442844573715,0.00037921398952045493,4.789252916501154e-05,1.438032498480197e-07,0.9165505569255126
88,0.9858167945227654,1.0577902941478545,1.0518154620977198,0.07197349962508914,0.06599866757495443,0.07197349962508914,0.06599866757495443,0.005180184648282707,0.004355824121669341,0.9164702055872455
89,1.0543120297715298,0.9858167945227654,0.9849644356815586,-0.06849523524876444,-0.06934759408997127,0.06849523524876444,0.06934759408997127,0.004691597251783583,0.004809088806067417,0.9039011611827048
90,1.0986122886681098,1.0543120297715298,1.0477951254301987,-0.04430025889657996,-0.05081716323791108,0.04430025889657996,0.05081716323791108,0.0019625129383040118,0.002582384079548501,0.9056450343095145
91,1.0885619528146082,1.0986122886681098,1.0895889173070292,0.010050335853501569,0.001026964492421012,0.010050335853501569,0.001026964492421012,0.0001010092507681791,1.0546560686935467e-06,0.914668530425394
