block_id,shock_size,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs,rmse_improvement_vs_nohedge_pct,mae_improvement_vs_nohedge_pct,physical_seed,valid_local_states
3,0.02,oracle_rqmc,3070,-1.3672051359603859e-07,1.3138659011475645e-06,9.745641629706874e-07,6.993046474059294e-07,2.98032559670598e-06,3.4482659598666176e-06,3.596599697584964e-06,99.50523589237625,99.58322025638024,9301,1535
4,0.005,dml_ensemble,3072,-1.4174340028165044e-08,5.111178536414994e-07,4.003923790868795e-07,3.346543195787407e-07,9.755773777897464e-07,1.3691566062644637e-06,2.7651784678444844e-06,99.25821520110648,99.35465885552205,9401,1536
4,0.005,mlp_ensemble,3072,-1.4174340028163329e-08,3.2319447900708738e-06,2.198617078814026e-06,1.508156555707715e-06,6.840745748152813e-06,1.1653030047777997e-05,2.3548444094914202e-05,95.30948195400113,96.45633099924025,9401,1536
4,0.005,no_hedge,3072,-1.4174340028847237e-08,6.890379182802191e-05,6.204352264115662e-05,6.153392690055187e-05,0.00011210795758905578,0.0001157862656617346,0.00011822493322047323,0.0,0.0,9401,1536
4,0.005,oracle_rqmc,3072,-1.4174340028166786e-08,9.124139514214528e-08,6.958866801372517e-08,5.227278776543824e-08,2.050378623810625e-07,2.2092137264516326e-07,3.0946512841353407e-07,99.86758146000169,99.88783894748175,9401,1536
4,0.01,dml_ensemble,3072,-4.959085692785645e-08,1.0765945083491052e-06,8.44356196514979e-07,6.78030486927208e-07,2.0989332693468966e-06,2.9125436377509356e-06,5.9614330472569546e-06,99.21887401921607,99.31964933875868,9401,1536
4,0.01,mlp_ensemble,3072,-4.959085692785637e-08,6.4758714902446255e-06,4.406269893615279e-06,3.0200085517618054e-06,1.3662451547567628e-05,2.3407489627845993e-05,4.657517789505251e-05,95.30141438580726,96.4495924254454,9401,1536
4,0.01,no_hedge,3072,-4.9590856927857424e-08,0.0001378259761976738,0.00012410603011312152,0.00012291108707481683,0.00022420527698435272,0.0002316438338427716,0.00023689982741213755,0.0,0.0,9401,1536
4,0.01,oracle_rqmc,3072,-4.9590856927856524e-08,3.568732133764195e-07,2.692158240087711e-07,1.9675117346600892e-07,8.07553286266629e-07,8.765668258018804e-07,1.0433240719290245e-06,99.74106970019602,99.78307595226164,9401,1536
4,0.02,dml_ensemble,3072,-2.0114425060898545e-07,2.480615416957899e-06,1.930667874386273e-06,1.5169987304799537e-06,4.953470365290915e-06,6.772664495004132e-06,1.3657657421482035e-05,99.09994759891474,99.22197346626915,9401,1536
4,0.02,mlp_ensemble,3072,-2.0114425060898545e-07,1.2984238354914786e-05,8.857584307920655e-06,6.116686741155881e-06,2.7541789799448328e-05,4.7152095202950095e-05,9.42361381784609e-05,95.28887274193596,96.4305431774427,9401,1536
4,0.02,no_hedge,3072,-2.0114425060898466e-07,0.00027560788838148397,0.00024814936132424556,0.0002459627436277919,0.00044762154016053326,0.00046369635330529576,0.0004755742758200121,0.0,0.0,9401,1536
4,0.02,oracle_rqmc,3072,-2.0114425060898543e-07,1.4093213961916576e-06,1.0603381699278269e-06,7.846427176038133e-07,3.206467699085287e-06,3.505802276058611e-06,3.642032813220582e-06,99.4886498334761,99.57270163248887,9401,1536
