shock_size,n_fix_future,tau,distance_to_nearest_fixing_days,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs
0.01,1,0.060000000000000005,8.51666666666666,dml_ensemble,1024,-1.5184639751479976e-07,1.0178656093414867e-06,7.886004150156657e-07,6.227126848914368e-07,1.9670766215285066e-06,2.1293628687738026e-06,7.293784713951912e-06
0.01,1,0.060000000000000005,8.51666666666666,mlp_ensemble,1024,-1.5184639751479924e-07,8.753861979446885e-06,6.043363177479239e-06,4.67733743937965e-06,1.6560917313278543e-05,3.694420820440628e-05,5.437440619894318e-05
0.01,1,0.060000000000000005,8.51666666666666,no_hedge,1024,-1.5184639751479648e-07,8.133309710885952e-05,6.375881895808892e-05,7.062881427492601e-05,0.00011901034480632996,0.00012009828937830101,0.00012123758026058584
0.01,1,0.060000000000000005,8.51666666666666,oracle_rqmc,1024,-1.518463975147998e-07,3.1869273404356933e-07,2.4791561748330927e-07,2.0560450394736243e-07,5.1132174340651e-07,5.16480167497868e-07,5.217855091164557e-07
0.02,12,0.9583333333333334,15.208333333333332,dml_ensemble,1024,-1.8199961040978218e-07,1.632376007989549e-06,1.3371600052488508e-06,1.156395137543332e-06,3.0161547110675206e-06,3.666455665991461e-06,5.6235793159225005e-06
0.02,12,0.9583333333333334,15.208333333333332,mlp_ensemble,1024,-1.8199961040978218e-07,6.205647380546116e-06,5.142033662021973e-06,4.850681295581321e-06,1.160100201463699e-05,1.53334304519406e-05,1.8735024191441117e-05
0.02,12,0.9583333333333334,15.208333333333332,no_hedge,1024,-1.8199961040977694e-07,0.0002481242690517086,0.0002474962009088059,0.0002470167965519998,0.00027837339932138634,0.00028885661170351904,0.00030621942068252174
0.02,12,0.9583333333333334,15.208333333333332,oracle_rqmc,1024,-1.8199961040978242e-07,3.1912597775106665e-07,2.5663555466619524e-07,2.2335036069236365e-07,6.138859061269373e-07,8.639624572365429e-07,1.0326822568940326e-06
0.02,11,0.875,15.20833333333333,dml_ensemble,1024,-1.5734884019341591e-07,1.8441913885867488e-06,1.41143079537594e-06,1.1133669022642546e-06,3.7517140173010443e-06,5.621270020313018e-06,8.4438200558235e-06
0.02,11,0.875,15.20833333333333,mlp_ensemble,1024,-1.5734884019341615e-07,7.418183109146036e-06,5.094331374234411e-06,3.0656595092216064e-06,1.4604105366838446e-05,1.7963290463359617e-05,5.128321229583375e-05
0.02,11,0.875,15.20833333333333,no_hedge,1024,-1.5734884019341605e-07,0.0002526599646524464,0.0002462804338974211,0.00024377419670160508,0.00034415038710961795,0.0003798274155590349,0.0004101817366940069
0.02,11,0.875,15.20833333333333,oracle_rqmc,1024,-1.573488401934157e-07,5.787573060592305e-07,4.437951854037554e-07,3.513153418765639e-07,1.2065410983576065e-06,1.6608028828944775e-06,2.2338458931062425e-06
0.02,10,0.7916666666666667,15.20833333333333,dml_ensemble,1024,-1.5196368399516393e-07,1.8887239115594194e-06,1.4930122797564478e-06,1.256040890950012e-06,3.7215118858881235e-06,5.374346777625092e-06,7.677404501517935e-06
0.02,10,0.7916666666666667,15.20833333333333,mlp_ensemble,1024,-1.5196368399516383e-07,8.273933192779887e-06,5.726812159361618e-06,3.556119765241701e-06,2.0334341751805507e-05,2.363397661430911e-05,2.6769791110994206e-05
0.02,10,0.7916666666666667,15.20833333333333,no_hedge,1024,-1.5196368399516595e-07,0.00025753794694441753,0.00024579574508247964,0.0002456758661686393,0.00037085875803002965,0.0003942505486154295,0.00040969347031523384
0.02,10,0.7916666666666667,15.20833333333333,oracle_rqmc,1024,-1.5196368399516362e-07,7.466885753500854e-07,5.849631273326434e-07,4.854339072858676e-07,1.6070180969904507e-06,2.0213644949515585e-06,2.4311824544691264e-06
0.02,9,0.7083333333333334,15.20833333333332,dml_ensemble,1022,-1.593565025151005e-07,1.7059787906935353e-06,1.3781851596635343e-06,1.212316404563941e-06,3.218365051531727e-06,4.274414948713351e-06,5.285495579357446e-06
0.02,9,0.7083333333333334,15.20833333333332,mlp_ensemble,1022,-1.593565025151007e-07,1.1370267195008252e-05,7.70648556452339e-06,5.970016626076518e-06,2.085167789654427e-05,3.165712805564288e-05,0.00011213537844142441
0.02,9,0.7083333333333334,15.20833333333332,no_hedge,1022,-1.5935650251509176e-07,0.00026520253785855536,0.0002485710206908399,0.00025421356474032014,0.0003937729742310927,0.00042403661677237073,0.0004456146306158343
0.02,9,0.7083333333333334,15.20833333333332,oracle_rqmc,1022,-1.5935650251510052e-07,9.259266224832836e-07,7.24614690472189e-07,5.934881080142657e-07,1.9480521115825694e-06,2.5673079720052246e-06,3.3272890269402567e-06
0.02,8,0.625,15.20833333333334,dml_ensemble,1022,-1.3228874672160008e-07,2.0058974208226868e-06,1.6480385145564675e-06,1.490984973348151e-06,3.7325747772788576e-06,4.858725837772067e-06,5.902945028321777e-06
0.02,8,0.625,15.20833333333334,mlp_ensemble,1022,-1.3228874672160019e-07,9.796393757472692e-06,6.130160779638828e-06,3.7911685470388794e-06,2.0571998107785705e-05,4.023918004977217e-05,6.290218625810875e-05
0.02,8,0.625,15.20833333333334,no_hedge,1022,-1.322887467216227e-07,0.0002685528529401306,0.0002477880772484545,0.0002503346972973922,0.00040882173316056597,0.0004299938972796127,0.00045533772432831965
0.02,8,0.625,15.20833333333334,oracle_rqmc,1022,-1.3228874672160053e-07,1.035235136915472e-06,8.215508974560839e-07,6.927020202010478e-07,2.144477236382092e-06,2.760030980721033e-06,3.3185975100065716e-06
0.02,7,0.5416666666666666,15.20833333333332,dml_ensemble,1022,-1.9026705569075432e-07,2.3832074031906e-06,1.9234370804726515e-06,1.6915852800616877e-06,4.483814522125375e-06,5.76864917815575e-06,9.762587483092141e-06
0.02,7,0.5416666666666666,15.20833333333332,mlp_ensemble,1022,-1.9026705569075355e-07,1.1073660037115884e-05,7.013450097462997e-06,5.072210466431726e-06,1.756573331182935e-05,3.738005240812862e-05,9.803579498555103e-05
0.02,7,0.5416666666666666,15.20833333333332,no_hedge,1022,-1.9026705569076183e-07,0.000279487616333343,0.00025304460609903675,0.00025587020699854857,0.00042851830933368477,0.0004503189816448305,0.0004594856518895171
0.02,7,0.5416666666666666,15.20833333333332,oracle_rqmc,1022,-1.9026705569075413e-07,1.2095053579093969e-06,9.648569669376835e-07,8.029070917885741e-07,2.6558457566485846e-06,3.134443444784706e-06,3.3834276838077258e-06
0.02,6,0.45833333333333326,15.20833333333332,dml_ensemble,1024,-1.4235497481353456e-07,2.327057400216233e-06,1.796988177574066e-06,1.3848475216641896e-06,4.944600061818723e-06,5.9818642683732966e-06,9.313711796607167e-06
0.02,6,0.45833333333333326,15.20833333333332,mlp_ensemble,1024,-1.4235497481353382e-07,1.196499794898223e-05,9.167559977018255e-06,8.028896072653237e-06,2.0208478652191234e-05,3.536114749808177e-05,8.443192259021927e-05
