scenario_id,price_abs_error_mean_dml,price_abs_error_mean_mlp,delta_abs_error_mean_dml,delta_abs_error_mean_mlp,dml_minus_mlp_price_abs_error,dml_minus_mlp_delta_abs_error,spot_K,fixed_avg_contrib_K,tau,r,kappa_q,theta_q_log_K,sigma_q,n_fix_past,n_fix_future,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,split
test_0000054,5.3448869036794994e-05,4.4884435781109704e-05,0.00017095745668449841,0.00042433425184488,8.56443325568529e-06,-0.0002533767951603816,0.895519480927326,0.5769161409427791,0.3344171479344368,0.0797243749350309,61.12477338314056,-0.0512247027832495,0.6949501293897629,7,5,0.9691319645699062,-0.030868035430093754,0.030868035430093754,test
test_0000055,3.876355267208205e-05,0.00030583721451556,0.00018618670854914194,0.0026095048021646,-0.0002670736618434779,-0.002423318093615458,0.8122166059458243,0.0821995377124776,0.8698611522559077,0.0291564936935901,25.682627709582448,0.0061796599674994,0.5584006407856942,1,11,0.9996180932909701,-0.0003819067090299333,0.0003819067090299333,test
test_0000056,5.361310583118831e-05,1.922185540193149e-05,0.00031649299254552464,0.0004905135832952532,3.439125042925682e-05,-0.00017402059074972853,0.9771057841338058,0.6635852267295653,0.2536928846500814,0.0747152795642614,55.78432075493038,-0.029722244714217,0.5784781336784363,8,4,0.9879996633302719,-0.012000336669728107,0.012000336669728107,test
test_0000057,0.0002653434565533165,8.178406953303826e-05,0.0005548685961219957,0.0035472413984808395,0.00018355938702027823,-0.002992372802358844,1.0325489267038614,0.2644344842839405,0.6684662986081094,0.0241455607116222,81.40369747951627,0.0685139336660171,0.6744038531184197,3,9,1.0658782089126917,0.0658782089126917,0.0658782089126917,test
test_0000058,0.00013460455126555174,3.884536975701236e-05,0.00016152773055245302,0.00059708967427326,9.575918150853938e-05,-0.000435561943720807,1.0454213532815209,0.4999015067508832,0.4650158115662634,0.0418747424334287,31.240363771095872,0.1537278030859511,0.6549462836980819,6,6,1.082463697788945,0.08246369778894502,0.08246369778894502,test
test_0000059,1.4386066731421344e-05,7.53010117033881e-06,1.2892803362076007e-05,9.551295197597878e-05,6.855965561082534e-06,-8.262014861390276e-05,1.0433019147784508,0.0,0.9985970885958524,0.0123986966907978,59.44812009483576,-0.1173984398338452,0.5984046438336372,0,12,0.8906625410544843,-0.10933745894551572,0.10933745894551572,test
test_0000060,3.789865674741871e-05,4.1126045934777865e-05,5.827071616755354e-05,0.00036764578716449997,-3.2273891873591535e-06,-0.0003093750709969464,1.1165530924884486,0.6095406421816123,0.387671221466735,0.0343281093984842,63.95365995913744,-0.1594208670649416,0.5692730888724328,7,5,0.9658558151032108,-0.034144184896789165,0.034144184896789165,test
test_0000061,9.018972609095899e-05,5.334709078757275e-05,0.00012680067735445548,0.0006456456022470675,3.6842635303386244e-05,-0.000518844924892612,1.025774534949386,0.1748740018335755,0.8022271959111095,0.0648576188087463,38.36550202406943,0.1169176049562581,0.7026884877681732,2,10,1.113375051589434,0.11337505158943406,0.11337505158943406,test
test_0000062,0.00031737648741222713,0.00022627290522603038,0.00026295242087495636,0.00064027116267024,9.110358218619675e-05,-0.00037731874179528364,1.0073547834329886,0.9756493883371338,0.064037516573444,0.0022468490153551,72.96734281256795,0.0192184822803952,0.6429274979233741,11,1,1.0607106800701875,0.06071068007018754,0.06071068007018754,test
test_0000063,2.781731502618373e-05,1.8130916375724144e-05,5.7621562977981646e-05,0.00022895235409268197,9.686398650459586e-06,-0.00017133079111470033,0.8705696952273967,0.3412682296005105,0.5974013540893793,0.0516825327277183,44.85135353915393,-0.0641840531293263,0.6288780194520951,4,8,0.964705995475711,-0.03529400452428899,0.03529400452428899,test
test_0000064,3.019564989037507e-05,5.2414274212372186e-05,3.7706575894902744e-05,0.00043417663459293965,-2.2218624321997115e-05,-0.0003964700586980369,1.026492763803705,0.6701210213602108,0.2823894689325243,0.0040532350540161,81.70116653479636,-0.0922396916414817,0.5555117058753968,8,4,0.9750119827065624,-0.02498801729343758,0.02498801729343758,test
test_0000065,7.860583676514116e-05,4.0513449482049654e-05,0.00018313041828339226,0.0003197987730444852,3.80923872830915e-05,-0.00013666835476109293,1.0026850770401865,0.2521658406637202,0.6988008767366409,0.0545833007246255,55.491458125412464,0.1285690579220602,0.6914329335093498,3,9,1.1048905501448065,0.10489055014480653,0.10489055014480653,test
test_0000066,6.355566544678102e-05,7.58112999469384e-05,0.00021688787892597356,0.001005605982642889,-1.2255634500157381e-05,-0.0007887181037169155,0.99874884028579,0.480527932143843,0.4346803203690796,0.0318962153792381,59.09424461238086,0.0536553600061391,0.6316620248556137,6,6,1.0072978510629826,0.007297851062982641,0.007297851062982641,test
test_0000067,0.00010048895819969993,4.680379855478215e-05,0.00011351230627648008,0.0002559254700985774,5.368515964491778e-05,-0.00014241316382209733,0.9232462179599872,0.0,0.9698996054008604,0.0613326067477464,31.597914416342974,-0.0148636837739241,0.6151262500882149,0,12,0.9871251845513674,-0.01287481544863256,0.01287481544863256,test
test_0000068,6.683349167522369e-05,7.160903280355952e-05,0.00015803045062143438,0.00111042863701332,-4.775541128335833e-06,-0.0009523981863918857,0.9270161849114869,0.6032318213403155,0.3561946404166519,0.0444424371421337,38.03811429813504,-0.0587232357908192,0.587244847714901,7,5,0.9964095276912581,-0.0035904723087418766,0.0035904723087418766,test
test_0000069,7.27675082776979e-05,6.850224964842817e-05,6.0872856238783356e-05,0.0007242357660540799,4.2652586292697345e-06,-0.0006633629098152966,1.0375729649739636,0.1628211461895001,0.7728234877344221,0.0138744559139013,64.27715079300106,0.0137576510109141,0.6806543815135956,2,10,1.009668789717471,0.009668789717470982,0.009668789717470982,test
test_0000070,7.134535181459712e-05,5.6141876267450964e-05,0.00041713570405255997,0.00093619318326136,1.520347554714616e-05,-0.0005190574792088,0.998124208562622,0.8299324746289779,0.0934421236626804,0.0715212567150592,45.11476347595453,0.0811107313222371,0.6612064257264137,10,2,1.0062830906010491,0.006283090601049146,0.006283090601049146,test
test_0000071,2.1161109149988448e-05,2.89529965162752e-05,2.3255493555678135e-05,0.0001525930923300223,-7.79188736628675e-06,-0.00012933759877434417,1.090637467239901,0.3598411613608907,0.6288788482081146,0.0220471023768186,72.70096724666655,-0.1236139891910589,0.6071614390611648,4,8,0.9503049021976726,-0.04969509780232739,0.04969509780232739,test
test_0000072,0.00021001270303732948,2.9261449573877996e-05,0.00014706074845557824,0.00031887053645991996,0.00018075125346345147,-0.00017180978800434172,0.9631155798277428,0.5030228010368408,0.4728659529238939,0.0765121571719646,69.85859756730497,0.1408926955258153,0.6272389277815819,6,6,1.0791457602702372,0.07914576027023723,0.07914576027023723,test
test_0000073,9.62387734899442e-06,1.1024307509906878e-05,1.3702966593964613e-05,8.922311516019763e-05,-1.400430160912458e-06,-7.552014856623301e-05,0.968004143577823,0.0795807522439915,0.8876465900335461,0.0270361735671758,36.32273183390498,-0.1046427915209435,0.6406601440906524,1,11,0.9083016893968692,-0.09169831060313083,0.09169831060313083,test
